RFP_ID,Company_Name,Link,Owner,Publish_Date,End_Date,Event_Type,Status,Participated,Description,Note
"Aramco_4203207873_CABLE, ELECTRICAL, LOW VOLTAGE TC, 7 S",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGnWH6yb&awcharset=UTF-8,"Almannai, Khalid",2/25/2025 12:17 PM,03/20/2025 07:30 PM,RFP,,Yes,,
Aramco_4203208370_CABLE; ELECTRICAL; LOW VOLTAGE; POWER OR,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG0Z%2BtFR&awcharset=UTF-8,"Shinawi, Ahmed",3/13/2025 2:16 PM,03/13/2025 07:30 PM,RFP,,Yes,,
Aramco_4203206815_CABLE POWER; 600V-1000V;,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG1X%2BlVA&awcharset=UTF-8,"Shinawi, Ahmed",3/10/2025 4:17 PM,45780.8125,RFP,,Yes,,
"Aramco_4203206563_m5BLE, ELECTRICAL, LOW VOLTAGE XLPE,",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGyE9meW&awcharset=UTF-8,"Shinawi, Ahmed",2/26/2025 4:01 PM,45780.8125,RFP,,Yes,,
"Aramco_4203206573_CABLE, ELECTRICAL, LOW VOLTAGE, TC, PVC",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGxbvZgu&awcharset=UTF-8,"Shinawi, Ahmed",2/24/2025 3:47 PM,45719.8125,RFP,,Yes,,
Aramco_4203206348_CABLE TRAY; Aluminum OR STEEL,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGxfvkYp&awcharset=UTF-8,"Nimr, Hussain",2/24/2025 4:17 PM,02/27/2025 07:30 PM,RFP,,No,,
Aramco_4203204018_CABLE; ELECTRICAL; LOW VOLTAGE; POWER OR,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGwdtWiv&awcharset=UTF-8,"Alfaleh, Maha",2/20/2025 4:02 PM,02/27/2025 06:30 PM,RFP,,Yes,,
Aramco_4203205488_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGqWfCRf&awcharset=UTF-8,"Almannai, Khalid",2/20/2025 1:16 PM,02/26/2025 07:30 PM,RFP,,No,,
"Aramco_4203206143_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGt51keL&awcharset=UTF-8,"Buzaid, Yousef",2/13/2025 10:01 AM,02/26/2025 07:30 PM,RFP,,No,,
"Aramco_4203205712_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGvuedQY&awcharset=UTF-8,"Shinawi, Ahmed",2/18/2025 10:47 AM,02/19/2025 07:30 PM,RFP,,No,,
"Aramco_4203202754_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGubQjp7&awcharset=UTF-8,"Shinawi, Ahmed",2/12/2025 5:47 PM,45749.8125,RFP,,Yes,,
"Aramco_4203202748_CABLE, ELECTRICAL, LOW VOLTAGE 61",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGnGzqyy&awcharset=UTF-8,"Alfaleh, Maha",1/30/2025 5:16 PM,45749.8125,RFP,,Yes,,
Aramco_4203202278_CABLE; ELECTRICAL; LOW VOLTAGE; POWER OR,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGnGqxuS&awcharset=UTF-8,"Alfaleh, Maha",1/26/2025 3:46 PM,45690.8125,RFP,,No,,
"Aramco_4203196818_CABLE POWER, 20KV,1C, CU 185MM2",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGlgwvC4&awcharset=UTF-8,"Almannai, Khalid",1/26/2025 5:16 PM,01/29/2025 07:30 PM,RFP,,No,,
"Aramco_4203202437_TRAY, CABLE, BEND 1270 MM (5 IN)",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGWq1LTr&awcharset=UTF-8,"Alfaleh, Maha",1/6/2025 3:31 PM,01/28/2025 07:30 PM,RFP,,No,,
Aramco_4203202987_CABLE; LOW VOL; 7 STR; 600-1000 V,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGl9oeMZ&awcharset=UTF-8,"Alfaleh, Maha",1/26/2025 11:33 AM,01/28/2025 07:30 PM,RFP,,No,,
"Aramco_4203202436_TRAY, CABLE, STRAIGHT 366 M (12 FT)",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGnfZmcf&awcharset=UTF-8,"Almannai, Khalid",1/22/2025 4:04 PM,01/27/2025 07:30 PM,RFP,,No,,
